customer_num,most_common_order_type,average_days_between_orders,median_days_between_orders,max_gap_between_orders,first_order_date,last_order_date,num_orders,num_of_unique_items,company_lifetime_in_days,orders_per_week,Churned
77936,Régulière,74 days 16:00:00.000000000,68 days 12:00:00.000000000,108 days 00:00:00.000000000,2017-05-04,2018-07-26,7,45,448 days 00:00:00.000000000,0.109375,1
77937,PO requis,5 days 02:17:52.340425531,4 days 00:00:00.000000000,15 days 00:00:00.000000000,2017-04-03,2018-07-26,101,45,479 days 00:00:00.000000000,1.475991649269311,0
77941,Régulière,13 days 18:10:54.545454545,8 days 00:00:00.000000000,52 days 00:00:00.000000000,2017-04-06,2018-07-04,34,36,454 days 00:00:00.000000000,0.5242290748898678,0
77962,Régulière,33 days 00:00:00.000000000,33 days 00:00:00.000000000,42 days 00:00:00.000000000,2017-04-17,2017-06-22,2,9,66 days 00:00:00.000000000,0.21212121212121213,0
77972,Régulière,1 days 14:04:17.980456026,1 days 00:00:00.000000000,5 days 00:00:00.000000000,2017-04-02,2018-08-02,549,1240,487 days 00:00:00.000000000,7.891170431211499,0
77975,Régulière,5 days 19:39:45.542168674,6 days 00:00:00.000000000,18 days 00:00:00.000000000,2017-04-03,2018-07-30,209,405,483 days 00:00:00.000000000,3.028985507246377,0
77982,Narcotique,23 days 18:21:10.588235294,14 days 00:00:00.000000000,82 days 00:00:00.000000000,2017-05-25,2018-07-03,17,24,404 days 00:00:00.000000000,0.2945544554455446,0
77992,Régulière,27 days 11:17:38.823529412,21 days 00:00:00.000000000,77 days 00:00:00.000000000,2017-04-05,2018-07-16,24,34,467 days 00:00:00.000000000,0.35974304068522484,0
77994,Régulière,56 days 09:00:00.000000000,40 days 00:00:00.000000000,129 days 00:00:00.000000000,2017-04-25,2018-07-20,22,30,451 days 00:00:00.000000000,0.34146341463414637,1
77996,Régulière,36 days 14:00:00.000000000,43 days 00:00:00.000000000,69 days 00:00:00.000000000,2017-04-25,2018-07-08,12,27,439 days 00:00:00.000000000,0.19134396355353075,0
78001,Régulière,1 days 11:20:43.636363636,1 days 00:00:00.000000000,5 days 00:00:00.000000000,2017-04-03,2018-08-02,448,1237,486 days 00:00:00.000000000,6.4526748971193415,0
78002,Promotion (Fax),7 days 00:00:00.000000000,7 days 00:00:00.000000000,7 days 00:00:00.000000000,2018-04-30,2018-05-07,1,3,7 days 00:00:00.000000000,1.0,0
78009,Narcotique,13 days 20:21:49.090909091,14 days 00:00:00.000000000,35 days 00:00:00.000000000,2017-04-10,2018-07-11,32,29,457 days 00:00:00.000000000,0.49015317286652077,0
78013,Régulière,17 days 09:13:50.769230769,12 days 00:00:00.000000000,70 days 00:00:00.000000000,2017-04-23,2018-07-19,29,19,452 days 00:00:00.000000000,0.44911504424778764,0
78014,Régulière,18 days 00:00:00.000000000,18 days 00:00:00.000000000,34 days 00:00:00.000000000,2018-05-14,2018-07-25,5,19,72 days 00:00:00.000000000,0.48611111111111116,0
78018,Régulière,27 days 05:38:49.411764706,24 days 00:00:00.000000000,75 days 00:00:00.000000000,2017-04-13,2018-07-20,18,56,463 days 00:00:00.000000000,0.27213822894168466,0
78019,Régulière,33 days 14:24:00.000000000,36 days 12:00:00.000000000,51 days 00:00:00.000000000,2017-04-25,2018-03-27,11,4,336 days 00:00:00.000000000,0.22916666666666669,0
78020,Régulière,141 days 16:00:00.000000000,100 days 00:00:00.000000000,285 days 00:00:00.000000000,2017-04-27,2018-06-26,4,4,425 days 00:00:00.000000000,0.06588235294117646,1
78028,Régulière,116 days 12:00:00.000000000,112 days 00:00:00.000000000,146 days 00:00:00.000000000,2017-04-07,2018-07-17,5,5,466 days 00:00:00.000000000,0.07510729613733906,1
78029,Narcotique,6 days 17:34:38.873239436,5 days 00:00:00.000000000,35 days 00:00:00.000000000,2017-04-03,2018-07-25,74,55,478 days 00:00:00.000000000,1.0836820083682008,0
78032,Narcotique,13 days 20:28:14.117647058,9 days 00:00:00.000000000,57 days 00:00:00.000000000,2017-04-11,2018-07-26,37,39,471 days 00:00:00.000000000,0.5498938428874734,0
78033,Régulière,35 days 22:09:13.846153846,39 days 00:00:00.000000000,54 days 00:00:00.000000000,2017-04-05,2018-07-16,14,90,467 days 00:00:00.000000000,0.20985010706638116,0
78035,Régulière,77 days 19:12:00.000000000,75 days 00:00:00.000000000,115 days 00:00:00.000000000,2017-04-03,2018-04-27,6,2,389 days 00:00:00.000000000,0.10796915167095116,1
78036,Régulière,103 days 12:00:00.000000000,103 days 12:00:00.000000000,129 days 00:00:00.000000000,2017-05-07,2017-11-30,3,3,207 days 00:00:00.000000000,0.10144927536231885,1
78038,Régulière,9 days 21:30:00.000000000,6 days 12:00:00.000000000,61 days 00:00:00.000000000,2017-04-05,2018-07-24,55,69,475 days 00:00:00.000000000,0.8105263157894737,0
78041,Régulière,4 days 11:46:40.000000000,4 days 00:00:00.000000000,15 days 00:00:00.000000000,2017-04-03,2018-08-01,138,211,485 days 00:00:00.000000000,1.9917525773195877,0
78053,Narcotique,34 days 09:36:00.000000000,29 days 00:00:00.000000000,78 days 00:00:00.000000000,2017-04-03,2017-09-22,6,8,172 days 00:00:00.000000000,0.2441860465116279,0
78055,Régulière,77 days 06:00:00.000000000,81 days 12:00:00.000000000,98 days 00:00:00.000000000,2017-05-01,2018-03-06,5,3,309 days 00:00:00.000000000,0.11326860841423947,1
78058,Régulière,8 days 13:17:08.571428571,8 days 00:00:00.000000000,32 days 00:00:00.000000000,2017-04-02,2018-07-25,65,135,479 days 00:00:00.000000000,0.9498956158663883,0
78068,Régulière,50 days 00:00:00.000000000,35 days 00:00:00.000000000,104 days 00:00:00.000000000,2017-04-10,2018-07-04,10,32,450 days 00:00:00.000000000,0.15555555555555556,1
78071,Narcotique,16 days 09:06:12.413793103,11 days 00:00:00.000000000,47 days 00:00:00.000000000,2017-04-06,2018-07-25,32,23,475 days 00:00:00.000000000,0.47157894736842104,0
78073,Régulière,2 days 00:17:42.295081967,2 days 00:00:00.000000000,6 days 00:00:00.000000000,2017-04-02,2018-08-06,387,942,491 days 00:00:00.000000000,5.517311608961303,0
78075,Régulière,13 days 03:20:00.000000000,13 days 12:00:00.000000000,28 days 00:00:00.000000000,2017-04-05,2018-07-22,38,126,473 days 00:00:00.000000000,0.562367864693446,0
78076,Régulière,11 days 17:13:50.769230769,7 days 00:00:00.000000000,42 days 00:00:00.000000000,2017-04-09,2018-07-10,40,26,457 days 00:00:00.000000000,0.612691466083151,0
78077,Narcotique,29 days 16:36:55.384615384,27 days 00:00:00.000000000,104 days 00:00:00.000000000,2017-04-19,2018-05-10,13,16,386 days 00:00:00.000000000,0.23575129533678757,1
78078,Régulière,20 days 08:00:00.000000000,20 days 00:00:00.000000000,35 days 00:00:00.000000000,2017-12-20,2018-06-21,11,10,183 days 00:00:00.000000000,0.42076502732240434,0
78079,Régulière,30 days 17:08:34.285714285,21 days 00:00:00.000000000,130 days 00:00:00.000000000,2017-04-30,2018-07-04,15,7,430 days 00:00:00.000000000,0.2441860465116279,1
78082,Régulière,34 days 00:00:00.000000000,15 days 00:00:00.000000000,266 days 00:00:00.000000000,2017-04-04,2018-07-24,16,18,476 days 00:00:00.000000000,0.23529411764705882,1
78086,Régulière,1 days 15:56:42.739726027,1 days 00:00:00.000000000,5 days 00:00:00.000000000,2017-04-03,2018-08-02,433,1052,486 days 00:00:00.000000000,6.2366255144032925,0
78091,Régulière,13 days 03:20:00.000000000,8 days 12:00:00.000000000,55 days 00:00:00.000000000,2017-04-03,2018-07-20,82,96,473 days 00:00:00.000000000,1.2135306553911205,0
78096,Régulière,39 days 13:05:27.272727272,35 days 00:00:00.000000000,63 days 00:00:00.000000000,2017-05-10,2018-07-19,13,39,435 days 00:00:00.000000000,0.20919540229885059,0
78097,Régulière,67 days 10:17:08.571428571,69 days 00:00:00.000000000,143 days 00:00:00.000000000,2017-04-06,2018-07-22,7,12,472 days 00:00:00.000000000,0.1038135593220339,1
78102,Régulière,6 days 00:54:00.000000000,6 days 00:00:00.000000000,16 days 00:00:00.000000000,2017-04-02,2018-07-29,90,199,483 days 00:00:00.000000000,1.3043478260869565,0
78109,Narcotique,30 days 09:36:00.000000000,22 days 00:00:00.000000000,83 days 00:00:00.000000000,2017-04-27,2018-07-27,16,22,456 days 00:00:00.000000000,0.24561403508771928,0
78119,Régulière,22 days 12:34:17.142857142,24 days 00:00:00.000000000,46 days 00:00:00.000000000,2017-04-12,2018-07-29,25,137,473 days 00:00:00.000000000,0.3699788583509514,0
78122,Narcotique,27 days 13:30:00.000000000,16 days 12:00:00.000000000,78 days 00:00:00.000000000,2017-04-06,2018-06-21,17,21,441 days 00:00:00.000000000,0.2698412698412698,0
78133,Régulière,2 days 05:54:58.604651162,2 days 00:00:00.000000000,14 days 00:00:00.000000000,2017-04-04,2018-07-31,299,781,483 days 00:00:00.000000000,4.333333333333334,0
78137,Régulière,1 days 14:53:27.920792079,1 days 00:00:00.000000000,5 days 00:00:00.000000000,2017-04-02,2018-08-06,415,718,491 days 00:00:00.000000000,5.916496945010183,0
78141,Narcotique,139 days 16:00:00.000000000,63 days 00:00:00.000000000,326 days 00:00:00.000000000,2017-04-07,2018-05-31,6,5,419 days 00:00:00.000000000,0.10023866348448687,1
78142,Régulière,33 days 12:00:00.000000000,33 days 00:00:00.000000000,57 days 00:00:00.000000000,2017-04-06,2018-07-19,14,45,469 days 00:00:00.000000000,0.208955223880597,0
78147,Régulière,19 days 09:23:28.695652174,18 days 00:00:00.000000000,58 days 00:00:00.000000000,2017-04-05,2018-06-25,19,38,446 days 00:00:00.000000000,0.2982062780269058,0
78150,Régulière,1 days 16:43:29.059233449,1 days 00:00:00.000000000,6 days 00:00:00.000000000,2017-04-02,2018-08-02,750,1226,487 days 00:00:00.000000000,10.780287474332649,0
78152,Régulière,25 days 01:15:47.368421052,22 days 00:00:00.000000000,96 days 00:00:00.000000000,2017-04-10,2018-07-30,21,45,476 days 00:00:00.000000000,0.3088235294117647,1
78158,Régulière,59 days 12:00:00.000000000,61 days 00:00:00.000000000,99 days 00:00:00.000000000,2017-07-31,2018-03-26,5,13,238 days 00:00:00.000000000,0.14705882352941177,1
78159,Régulière,2 days 09:57:36.000000000,2 days 00:00:00.000000000,6 days 00:00:00.000000000,2017-04-04,2018-07-31,248,961,483 days 00:00:00.000000000,3.594202898550725,0
78161,Régulière,35 days 12:55:23.076923077,32 days 00:00:00.000000000,77 days 00:00:00.000000000,2017-04-17,2018-07-23,14,19,462 days 00:00:00.000000000,0.21212121212121213,0
78162,Régulière,163 days 00:00:00.000000000,163 days 00:00:00.000000000,307 days 00:00:00.000000000,2017-09-07,2018-07-30,3,3,326 days 00:00:00.000000000,0.06441717791411043,1
78171,Régulière,73 days 14:24:00.000000000,43 days 00:00:00.000000000,215 days 00:00:00.000000000,2017-06-15,2018-06-18,6,6,368 days 00:00:00.000000000,0.11413043478260869,1
78172,Régulière,1 days 16:59:09.295774647,1 days 00:00:00.000000000,18 days 00:00:00.000000000,2017-04-03,2018-08-01,422,687,485 days 00:00:00.000000000,6.090721649484536,0
78173,Régulière,33 days 20:18:27.692307692,35 days 00:00:00.000000000,56 days 00:00:00.000000000,2017-05-02,2018-07-16,13,83,440 days 00:00:00.000000000,0.20681818181818182,0
78174,Régulière,197 days 00:00:00.000000000,197 days 00:00:00.000000000,215 days 00:00:00.000000000,2017-04-09,2018-05-08,3,3,394 days 00:00:00.000000000,0.0532994923857868,1
78176,Régulière,97 days 00:00:00.000000000,97 days 00:00:00.000000000,97 days 00:00:00.000000000,2017-06-06,2017-09-11,2,5,97 days 00:00:00.000000000,0.14432989690721648,1
78181,Régulière,123 days 16:00:00.000000000,167 days 00:00:00.000000000,188 days 00:00:00.000000000,2017-04-10,2018-04-16,4,13,371 days 00:00:00.000000000,0.07547169811320756,1
78187,Régulière,1 days 11:31:43.323262839,1 days 00:00:00.000000000,5 days 00:00:00.000000000,2017-04-02,2018-08-05,454,1332,490 days 00:00:00.000000000,6.485714285714286,0
78188,Régulière,2 days 15:36:23.606557377,2 days 00:00:00.000000000,13 days 00:00:00.000000000,2017-04-03,2018-08-01,213,429,485 days 00:00:00.000000000,3.074226804123711,0
78189,Régulière,1 days 11:55:33.333333333,1 days 00:00:00.000000000,6 days 00:00:00.000000000,2017-04-02,2018-07-31,551,1487,485 days 00:00:00.000000000,7.952577319587629,0
78193,Régulière,29 days 00:00:00.000000000,21 days 12:00:00.000000000,95 days 00:00:00.000000000,2018-01-09,2018-07-02,7,1,174 days 00:00:00.000000000,0.28160919540229884,1
78194,Régulière,97 days 08:00:00.000000000,110 days 00:00:00.000000000,177 days 00:00:00.000000000,2017-05-24,2018-03-12,4,4,292 days 00:00:00.000000000,0.0958904109589041,1
78195,Régulière,42 days 14:24:00.000000000,37 days 00:00:00.000000000,111 days 00:00:00.000000000,2017-05-04,2018-07-04,10,62,426 days 00:00:00.000000000,0.16431924882629106,1
78197,Régulière,1 days 21:43:56.220472440,1 days 00:00:00.000000000,12 days 00:00:00.000000000,2017-04-03,2018-07-31,415,793,484 days 00:00:00.000000000,6.002066115702479,0
78198,Régulière,10 days 10:30:00.000000000,7 days 00:00:00.000000000,24 days 00:00:00.000000000,2018-02-12,2018-07-29,19,42,167 days 00:00:00.000000000,0.7964071856287425,0
78199,Régulière,1 days 16:00:00.000000000,1 days 00:00:00.000000000,7 days 00:00:00.000000000,2017-04-04,2018-08-07,1057,1069,490 days 00:00:00.000000000,15.1,0
78201,Régulière,36 days 20:00:00.000000000,18 days 12:00:00.000000000,155 days 00:00:00.000000000,2017-04-10,2018-06-26,17,32,442 days 00:00:00.000000000,0.2692307692307693,1
78220,Régulière,2 days 08:04:36.923076923,2 days 00:00:00.000000000,6 days 00:00:00.000000000,2017-04-03,2018-08-02,306,917,486 days 00:00:00.000000000,4.407407407407407,0
78221,Régulière,1 days 14:11:45.882352941,1 days 00:00:00.000000000,5 days 00:00:00.000000000,2017-04-02,2018-08-02,432,715,487 days 00:00:00.000000000,6.209445585215606,0
78222,Régulière,4 days 13:21:30.566037735,4 days 00:00:00.000000000,14 days 00:00:00.000000000,2017-04-03,2018-07-30,145,162,483 days 00:00:00.000000000,2.101449275362319,0
78224,Régulière,1 days 13:27:41.538461538,1 days 00:00:00.000000000,5 days 00:00:00.000000000,2017-04-02,2018-08-02,430,983,487 days 00:00:00.000000000,6.180698151950718,0
78226,Régulière,36 days 00:00:00.000000000,36 days 00:00:00.000000000,48 days 00:00:00.000000000,2017-04-05,2018-07-17,14,19,468 days 00:00:00.000000000,0.2094017094017094,0
78228,Narcotique,19 days 05:27:16.363636363,17 days 12:00:00.000000000,52 days 00:00:00.000000000,2017-04-25,2018-06-22,19,22,423 days 00:00:00.000000000,0.3144208037825059,0
78232,Régulière,8 days 03:25:42.857142857,5 days 00:00:00.000000000,59 days 00:00:00.000000000,2017-04-04,2018-07-04,67,64,456 days 00:00:00.000000000,1.0285087719298247,0
78233,Régulière,41 days 09:36:00.000000000,37 days 00:00:00.000000000,84 days 00:00:00.000000000,2017-05-29,2018-07-17,12,42,414 days 00:00:00.000000000,0.2028985507246377,0
78235,Régulière,23 days 20:24:00.000000000,22 days 00:00:00.000000000,55 days 00:00:00.000000000,2017-04-10,2018-07-31,23,86,477 days 00:00:00.000000000,0.33752620545073375,0
78236,Régulière,11 days 00:00:00.000000000,11 days 00:00:00.000000000,16 days 00:00:00.000000000,2018-03-12,2018-04-03,3,10,22 days 00:00:00.000000000,0.9545454545454545,0
78238,Régulière,9 days 09:36:00.000000000,8 days 00:00:00.000000000,33 days 00:00:00.000000000,2017-04-12,2018-07-26,54,123,470 days 00:00:00.000000000,0.8042553191489361,0
78239,Régulière,1 days 18:34:09.635036496,1 days 00:00:00.000000000,6 days 00:00:00.000000000,2017-04-02,2018-08-01,405,897,486 days 00:00:00.000000000,5.833333333333334,0
78242,Régulière,1 days 15:08:27.382550335,1 days 00:00:00.000000000,6 days 00:00:00.000000000,2017-04-03,2018-08-02,906,1160,486 days 00:00:00.000000000,13.049382716049383,0
78244,Régulière,49 days 00:00:00.000000000,42 days 00:00:00.000000000,111 days 00:00:00.000000000,2017-05-01,2017-11-13,5,2,196 days 00:00:00.000000000,0.17857142857142858,1
78245,Régulière,200 days 00:00:00.000000000,200 days 00:00:00.000000000,200 days 00:00:00.000000000,2017-04-24,2017-11-10,2,6,200 days 00:00:00.000000000,0.07,1
78247,Régulière,61 days 10:17:08.571428571,59 days 00:00:00.000000000,91 days 00:00:00.000000000,2017-05-01,2018-07-05,8,9,430 days 00:00:00.000000000,0.13023255813953488,1
78251,Régulière,67 days 00:00:00.000000000,67 days 00:00:00.000000000,85 days 00:00:00.000000000,2018-01-10,2018-05-24,3,1,134 days 00:00:00.000000000,0.15671641791044774,1
78252,Régulière,1 days 16:54:05.070422535,1 days 00:00:00.000000000,5 days 00:00:00.000000000,2017-04-03,2018-07-31,404,1040,484 days 00:00:00.000000000,5.8429752066115705,0
78253,Régulière,1 days 15:03:37.449664429,1 days 00:00:00.000000000,5 days 00:00:00.000000000,2017-04-02,2018-07-31,553,883,485 days 00:00:00.000000000,7.981443298969072,0
78254,Régulière,3 days 00:00:00.000000000,3 days 00:00:00.000000000,3 days 00:00:00.000000000,2018-03-13,2018-03-16,2,8,3 days 00:00:00.000000000,4.666666666666666,0
78255,Régulière,45 days 00:00:00.000000000,45 days 00:00:00.000000000,82 days 00:00:00.000000000,2017-11-22,2018-02-20,3,3,90 days 00:00:00.000000000,0.23333333333333334,0
78258,Régulière,14 days 13:56:07.741935483,13 days 00:00:00.000000000,39 days 00:00:00.000000000,2017-04-13,2018-07-09,31,117,452 days 00:00:00.000000000,0.4800884955752212,0
78259,Narcotique,17 days 09:46:40.000000000,14 days 00:00:00.000000000,74 days 00:00:00.000000000,2017-04-03,2018-07-17,31,35,470 days 00:00:00.000000000,0.46170212765957447,0
78260,Régulière,47 days 20:00:00.000000000,49 days 12:00:00.000000000,98 days 00:00:00.000000000,2017-06-21,2018-04-04,7,10,287 days 00:00:00.000000000,0.17073170731707318,1
78261,Régulière,43 days 18:00:00.000000000,44 days 12:00:00.000000000,100 days 00:00:00.000000000,2017-05-10,2018-04-25,10,16,350 days 00:00:00.000000000,0.19999999999999998,1
78262,Régulière,70 days 04:48:00.000000000,49 days 00:00:00.000000000,140 days 00:00:00.000000000,2017-04-05,2018-03-22,6,12,351 days 00:00:00.000000000,0.11965811965811968,1
78269,Régulière,119 days 00:00:00.000000000,119 days 00:00:00.000000000,119 days 00:00:00.000000000,2017-10-17,2018-02-13,2,6,119 days 00:00:00.000000000,0.11764705882352941,1
78271,Régulière,21 days 08:43:38.181818181,19 days 12:00:00.000000000,44 days 00:00:00.000000000,2017-04-10,2018-07-24,23,52,470 days 00:00:00.000000000,0.3425531914893617,0
78273,Narcotique,25 days 21:10:35.294117647,21 days 00:00:00.000000000,79 days 00:00:00.000000000,2017-04-04,2018-06-18,19,16,440 days 00:00:00.000000000,0.30227272727272725,0
78274,Régulière,69 days 20:00:00.000000000,58 days 00:00:00.000000000,171 days 00:00:00.000000000,2017-06-05,2018-07-29,7,13,419 days 00:00:00.000000000,0.11694510739856802,1
78277,Narcotique,15 days 13:56:07.741935483,12 days 00:00:00.000000000,56 days 00:00:00.000000000,2017-04-04,2018-07-31,33,27,483 days 00:00:00.000000000,0.4782608695652174,0
78280,Régulière,7 days 08:51:41.538461538,7 days 00:00:00.000000000,25 days 00:00:00.000000000,2017-04-09,2018-08-01,110,237,479 days 00:00:00.000000000,1.6075156576200418,0
78282,Régulière,15 days 00:00:00.000000000,15 days 00:00:00.000000000,15 days 00:00:00.000000000,2017-04-04,2017-04-19,2,6,15 days 00:00:00.000000000,0.9333333333333333,0
78285,Régulière,1 days 15:50:06.185567010,1 days 00:00:00.000000000,12 days 00:00:00.000000000,2017-04-04,2018-07-31,357,1123,483 days 00:00:00.000000000,5.173913043478261,0
78286,Régulière,25 days 00:00:00.000000000,23 days 12:00:00.000000000,35 days 00:00:00.000000000,2017-04-12,2018-03-28,15,8,350 days 00:00:00.000000000,0.3,0
78288,Régulière,25 days 00:00:00.000000000,14 days 00:00:00.000000000,96 days 00:00:00.000000000,2017-04-04,2017-09-26,8,9,175 days 00:00:00.000000000,0.32,1
78289,Régulière,240 days 12:00:00.000000000,240 days 12:00:00.000000000,463 days 00:00:00.000000000,2017-04-06,2018-07-31,3,8,481 days 00:00:00.000000000,0.04365904365904366,1
78290,Régulière,19 days 20:00:00.000000000,16 days 00:00:00.000000000,49 days 00:00:00.000000000,2017-04-09,2018-07-29,26,195,476 days 00:00:00.000000000,0.38235294117647056,0
